N.º	;Hora	;Personas	; 	; 	; 	; 	; 	;Vehículos a motor	; 	; 	; 	; 	; 	;Vehículos sin motor	;
	;	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	; 	; 	;Avanzar	; 	; 	;Retroceso	;
	;	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;Valor	;Tasa de cambio (ciclo tras ciclo)	;Tasa de cambio (año tras año)	;
58	;06/03 09:00 - 10:00	;47	;Aumentar por193.8%	;Aumentar por27.0%	;34	;Aumentar por240.0%	;Aumentar por17.2%	;2	;Aumentar por100.0%	;Disminuir por50.0%	;21	;Aumentar por10.5%	;Disminuir por22.2%	;1	;Sin cambios	;Disminuir por66.7%	;9	;Aumentar por50.0%	;Aumentar por28.6%	;
59	;06/03 10:00 - 11:00	;116	;Aumentar por103.5%	;Aumentar por1.8%	;63	;Aumentar por85.3%	;Aumentar por12.5%	;6	;Aumentar por50.0%	;Aumentar por200.0%	;30	;Aumentar por15.4%	;Sin cambios	;1	;Disminuir por50.0%	;Disminuir por50.0%	;7	;Sin cambios	;Disminuir por30.0%	;
60	;06/03 11:00 - 12:00	;133	;Aumentar por5.6%	;Aumentar por47.8%	;179	;Aumentar por55.7%	;Aumentar por159.4%	;5	;Aumentar por150.0%	;Disminuir por28.6%	;23	;Aumentar por4.5%	;Disminuir por20.7%	;3	; --%	; --%	;8	; --%	;Aumentar por60.0%	;
61	;06/03 12:00 - 13:00	;184	;Aumentar por268.0%	;Aumentar por196.8%	;174	;Aumentar por180.6%	;Aumentar por228.3%	;3	;Disminuir por25.0%	;Disminuir por40.0%	;14	;Disminuir por26.3%	;Disminuir por44.0%	;1	;Sin cambios	;Disminuir por50.0%	;6	;Aumentar por200.0%	;Disminuir por45.5%	;
62	;06/03 13:00 - 14:00	;92	;Aumentar por119.0%	;Aumentar por48.4%	;150	;Aumentar por226.1%	;Aumentar por100.0%	;0	;Disminuir por100.0%	;Disminuir por100.0%	;17	;Aumentar por54.5%	;Aumentar por6.3%	;2	; --%	;Disminuir por50.0%	;8	;Aumentar por166.7%	;Sin cambios	;
63	;06/03 14:00 - 15:00	;30	; --%	;Disminuir por26.8%	;38	; --%	;Aumentar por8.6%	;3	; --%	;Aumentar por200.0%	;15	; --%	;Disminuir por6.3%	;1	; --%	;Disminuir por50.0%	;9	; --%	;Aumentar por28.6%	;
64	;06/03 15:00 - 16:00	;53	; --%	;Aumentar por82.8%	;67	; --%	;Aumentar por9.8%	;4	; --%	;Aumentar por300.0%	;21	; --%	;Aumentar por110.0%	;0	; --%	; --%	;10	; --%	;Sin cambios	;
65	;06/03 16:00 - 17:00	;87	; --%	;Aumentar por112.2%	;66	; --%	;Aumentar por3.1%	;2	; --%	; --%	;16	; --%	;Aumentar por60.0%	;2	; --%	; --%	;9	; --%	;Disminuir por35.7%	;
66	;06/03 17:00 - 18:00	;57	; --%	;Disminuir por35.2%	;79	; --%	;Aumentar por58.0%	;1	; --%	; --%	;10	; --%	;Disminuir por28.6%	;7	; --%	;Aumentar por250.0%	;14	; --%	;Aumentar por55.6%	;
67	;06/03 18:00 - 19:00	;85	; --%	;Disminuir por15.0%	;93	; --%	;Aumentar por2.2%	;1	; --%	;Sin cambios	;15	; --%	;Aumentar por200.0%	;2	; --%	; --%	;9	; --%	;Aumentar por12.5%	;
68	;06/03 19:00 - 20:00	;99	; --%	;Disminuir por25.0%	;124	; --%	;Disminuir por10.8%	;2	; --%	; --%	;7	; --%	;Disminuir por30.0%	;0	; --%	;Disminuir por100.0%	;6	; --%	;Disminuir por40.0%	;
69	;06/03 20:00 - 21:00	;111	; --%	;Aumentar por109.4%	;134	; --%	;Aumentar por8.1%	;0	; --%	;Disminuir por100.0%	;3	; --%	;Disminuir por62.5%	;4	; --%	; --%	;9	; --%	;Aumentar por28.6%	;
70	;06/03 21:00 - 22:00	;58	; --%	;Aumentar por81.3%	;97	; --%	;Aumentar por36.6%	;0	; --%	;Disminuir por100.0%	;4	; --%	;Sin cambios	;0	; --%	; --%	;17	; --%	;Aumentar por88.9%	;
71	;06/03 22:00 - 23:00	;37	; --%	;Aumentar por117.6%	;61	; --%	;Aumentar por90.6%	;1	; --%	; --%	;6	; --%	;Disminuir por40.0%	;1	; --%	; --%	;4	; --%	; --%	;
72	;06/03 23:00 - 24:00	;22	; --%	;Aumentar por83.3%	;43	; --%	;Aumentar por87.0%	;0	; --%	; --%	;2	; --%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;6	; --%	;Sin cambios	;
73	;06/04 00:00 - 01:00	;4	; --%	;Sin cambios	;16	; --%	;Aumentar por300.0%	;3	; --%	; --%	;6	; --%	;Aumentar por500.0%	;0	; --%	; --%	;3	; --%	;Aumentar por50.0%	;
74	;06/04 01:00 - 02:00	;2	; --%	;Aumentar por100.0%	;1	; --%	; --%	;0	; --%	;Disminuir por100.0%	;2	; --%	;Disminuir por33.3%	;0	; --%	; --%	;1	; --%	; --%	;
75	;06/04 02:00 - 03:00	;1	; --%	; --%	;1	; --%	; --%	;1	; --%	; --%	;3	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
76	;06/04 03:00 - 04:00	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;0	; --%	; --%	;1	; --%	; --%	;
77	;06/04 04:00 - 05:00	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;0	; --%	;Disminuir por100.0%	;
78	;06/04 05:00 - 06:00	;0	; --%	;Disminuir por100.0%	;1	; --%	;Sin cambios	;0	; --%	; --%	;1	; --%	; --%	;0	; --%	; --%	;0	; --%	; --%	;
79	;06/04 06:00 - 07:00	;8	; --%	;Aumentar por300.0%	;10	; --%	;Aumentar por150.0%	;1	; --%	;Sin cambios	;0	; --%	;Disminuir por100.0%	;2	; --%	; --%	;4	; --%	; --%	;
80	;06/04 07:00 - 08:00	;9	; --%	;Disminuir por18.2%	;19	; --%	;Disminuir por24.0%	;1	; --%	;Sin cambios	;6	; --%	;Aumentar por50.0%	;0	; --%	; --%	;5	; --%	;Disminuir por16.7%	;
81	;06/04 08:00 - 09:00	;13	;Aumentar por1200.0%	;Aumentar por44.4%	;44	;Aumentar por1366.7%	;Aumentar por2.3%	;3	; --%	;Aumentar por50.0%	;20	;Aumentar por300.0%	;Aumentar por53.8%	;1	; --%	; --%	;10	; --%	;Aumentar por100.0%	;
82	;06/04 09:00 - 10:00	;51	;Aumentar por1175.0%	;Disminuir por15.0%	;21	;Aumentar por200.0%	;Disminuir por43.2%	;4	;Aumentar por100.0%	;Aumentar por300.0%	;22	;Disminuir por4.3%	;Aumentar por4.8%	;4	;Disminuir por42.9%	;Sin cambios	;10	;Aumentar por100.0%	;Sin cambios	;
83	;06/04 10:00 - 11:00	;89	;Aumentar por287.0%	;Aumentar por64.8%	;69	;Aumentar por228.6%	;Aumentar por64.3%	;5	;Aumentar por400.0%	;Disminuir por37.5%	;29	;Aumentar por61.1%	;Disminuir por12.1%	;1	; --%	;Sin cambios	;11	; --%	;Aumentar por57.1%	;
